 661357	nldidlnorm.Item.Component.Resource.mods.name1.nameIdentifier._attrs
 625647	nldidlnorm.Item.Component.Resource.mods.name.nameIdentifier.text
 607715	nldidlnorm.Item.Component.Resource.mods.identifier3._attrs
 607715	nldidlnorm.Item.Component.Resource.mods.identifier3.text
 597217	nldidlnorm.Item.Component.Resource.mods.abstract
 585729	nldidlnorm.Item.Component.Resource.mods.name6._attrs
 577499	nldidlnorm.Item.Component.Resource.mods.name3.namePart._attrs
 577499	nldidlnorm.Item.Component.Resource.mods.name3.namePart.text
 576697	Journal.relatedItem.part.detail1._attrs
 576697	Journal.relatedItem.part.detail1.number
 576697	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.detail1._attrs
 576697	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.detail1.number
 575532	nldidlnorm.Item.Component.Resource.mods.name3.namePart1._attrs
 575532	nldidlnorm.Item.Component.Resource.mods.name3.namePart1.text
 569730	nldidlnorm.Item.Component.Resource.mods.name4.role.roleTerm.text
 564355	nldidlnorm.Item.Component.Resource.mods.name6.role.roleTerm._attrs
 549830	Journal.relatedItem.part.extent.list
 549830	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.extent.list
 546325	nldidlnorm.Item.Component.Resource.mods.originInfo.publisher
 527131	nldidlnorm.Item1.Descriptor2.Statement._attrs
 503358	nldidlnorm.Item.Component.Resource.mods.name3.role1.roleTerm._attrs
 464625	Keywords.topic1
 464625	nldidlnorm.Item.Component.Resource.mods.subject.topic1
 456064	nldidlnorm.Item.Component.Resource.mods.name2.nameIdentifier._attrs
 446177	nldidlnorm.Item.Component.Resource.mods.name1.role1.roleTerm.text
 434693	Journal.relatedItem.part.detail.caption
 434693	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.detail.caption
 429926	nldidlnorm.Item.Component.Resource.mods.name7._attrs
 410451	nldidlnorm.Item.Component.Resource.mods.name7.role.roleTerm._attrs
 402974	nldidlnorm.Item.Component.Resource.mods.name4.namePart._attrs
 402974	nldidlnorm.Item.Component.Resource.mods.name4.namePart.text
 402694	nldidlnorm.Item.Component.Resource.mods.name1.namePart
 401575	nldidlnorm.Item.Component.Resource.mods.name4.namePart1._attrs
 401575	nldidlnorm.Item.Component.Resource.mods.name4.namePart1.text
 397050	nldidlnorm.Item.Component.Resource.mods.name5.role.roleTerm.text
 387436	nldidlnorm.Item1.Descriptor1.Statement.Identifier
 387436	nldidlnorm.Item1.Descriptor2.Statement.accessRights
 370734	nldidlnorm.Item.Component.Resource.mods.name4.role1.roleTerm._attrs
 370606	Keywords.topic2
 370606	nldidlnorm.Item.Component.Resource.mods.subject.topic2
 362298	nldidlnorm.Item1.Descriptor1.Statement.accessRights
 360553	nldidlnorm.Item.Component.Resource.mods.name.role1.roleTerm.text
 338916	nldidlnorm.Item.Component.Resource.mods.name2.role1.roleTerm.text
 333074	nldidlnorm.Item.Component.Resource.mods.name1.nameIdentifier.text
 325955	nldidlnorm.Item.Component.Resource.mods.name.affiliation
 321254	nldidlnorm.Item.Component.Resource.mods.name8._attrs
 313089	Journal.relatedItem.part.extent.total
 313089	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.extent.total
 311622	Keywords.topic3
 311622	nldidlnorm.Item.Component.Resource.mods.subject.topic3
 305177	nldidlnorm.Item.Component.Resource.mods.name8.role.roleTerm._attrs
 302203	Journal.relatedItem.part.detail1.caption
 302203	nldidlnorm.Item.Component.Resource.mods.relatedItem.part.detail1.caption
 302004	nldidlnorm.Item1.Descriptor3.Statement._attrs
 297680	nldidlnorm.Item.Component.Resource.mods.name2.namePart
 293050	nldidlnorm.Item.Component.Resource.mods.name3.nameIdentifier._attrs
